Producto,País,Ciudad,Cantidad_total_sacos,Devolución,Moneda,Pedido_ID,Fecha_Pedido,Cliente,Línea_Producto,Venta_Total,Canal_Venta,Costo_Envío,Ruta,Transportista,Devoluciones,Satisfacción_Cliente,Distribuidora,Contacto_Comercial,Tipo_Cliente,Incoterm,Medio_Transporte,Nro_Contenedor,Puerto_Salida
Harina galletera especial (50 kg),Guatemala,Ciudad de Guatemala,329,No,USD,10403,2024-04-08,Supermercado Quetzal,Galletera,2434.56,Online,241.93,Ruta Norte,FedEx,0,5,Distribuidora Andina Sur,Andrés Quispe,Exportación,DAP,Marítimo,CONT-965141,Callao
Harina galletera especial (50 kg),Perú,Lima,210,No,PEN,10417,2024-05-13,Panadería El Trigal,Galletera,7516.08,Online,195.65,Ruta Norte,UPS,1,5,Distribuidora Andina Sur,Diego Chávez,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Arequipa,344,No,PEN,10103,2024-01-29,Supermercado El Sol,Integral,5404.62,Online,230.07,Ruta Sur,UPS,0,5,Harinas Express,Miguel Sánchez,Nacional,,Terrestre,,
Harina integral (50 kg),Venezuela,Caracas,291,No,USD,10112,2024-03-24,Panadería El Ávila,Integral,7209.11,Tienda física,62.57,Ruta Norte,FedEx,2,3,Logística Norte SAC,Andrés Quispe,Exportación,CIF,Marítimo,CONT-995944,Paita
Harina integral (50 kg),Panamá,Colón,295,No,USD,10126,2024-05-28,Panadería Panamá Viejo,Integral,7329.06,Tienda física,148.33,Ruta Norte,FedEx,0,2,TransHarinas SAC,Diego Chávez,Exportación,FOB,Aéreo,CONT-232457,Paita
Harina integral (50 kg),Perú,Chiclayo,287,Sí,PEN,10140,2024-07-24,Panadería Doña Rosa,Integral,7374.1,Tienda física,118.34,Ruta Sur,DHL,0,2,Harinas Express,Carmen Vásquez,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Lima,321,No,PEN,10150,2024-09-19,Pastelería Dulce Hogar,Integral,10993.5,Distribuidor,46.26,Ruta Norte,UPS,3,5,Harinas Express,Juan Pérez,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Arequipa,371,No,PEN,10163,2024-10-20,Minimarket Don Lucho,Integral,4860.24,Tienda física,156.12,Ruta Norte,DHL,3,4,Logística Integral Perú,Andrés Quispe,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Arequipa,243,Sí,PEN,10174,2024-11-06,Bodega San Martín,Integral,8014.82,Distribuidor,277.81,Ruta Centro,FedEx,3,1,Distribuidora Andina Sur,Ana Rojas,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Lima,285,No,PEN,10183,2024-11-13,Minimarket Don Lucho,Integral,5372.57,Distribuidor,31.22,Ruta Sur,DHL,0,5,Logística Integral Perú,Patricia Salazar,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Arequipa,259,No,PEN,10194,2024-11-25,Bodega Los Olivos,Integral,7290.36,Tienda física,101.61,Ruta Norte,FedEx,4,1,Distribuciones Santa Clara,Carmen Vásquez,Nacional,,Terrestre,,
Harina integral (50 kg),Colombia,Medellín,385,No,USD,10206,2024-12-05,Pastelería Antioqueña,Integral,9064.89,Distribuidor,78.11,Ruta Norte,UPS,3,3,Logística Norte SAC,Pedro Castillo,Exportación,FOB,Aéreo,CONT-908766,Matarani
Harina integral (50 kg),Cuba,Santiago de Cuba,385,No,USD,10215,2024-01-29,Panadería El Malecón,Integral,6075.3,Tienda física,86.68,Ruta Norte,UPS,3,2,Harinas Express,Andrés Quispe,Exportación,CIF,Aéreo,CONT-053268,Callao
Harina integral (50 kg),Perú,Trujillo,211,Sí,PEN,10228,2024-03-10,Panificadora InkaPan,Integral,6463.23,Tienda física,274.36,Ruta Norte,FedEx,0,3,Harinas Express,Andrés Quispe,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Piura,306,No,PEN,10245,2024-05-04,Panadería El Trigal,Integral,6120.34,Online,151.06,Ruta Centro,UPS,2,4,Distribuciones Santa Clara,Andrés Quispe,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Trujillo,386,No,PEN,10258,2024-06-15,Pastelería El Buen Sabor,Integral,7680.64,Tienda física,150.56,Ruta Centro,FedEx,2,4,TransHarinas SAC,Carlos Huamán,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Piura,348,No,PEN,10270,2024-07-19,Minimarket Don Lucho,Integral,4905.39,Online,232.96,Ruta Centro,DHL,1,5,Harinas Express,Rosa Fernández,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Piura,395,No,PEN,10280,2024-08-17,Panadería San José,Integral,8014.82,Tienda física,63.26,Ruta Centro,FedEx,2,4,Harinas Express,Diego Chávez,Nacional,,Terrestre,,
Harina integral (50 kg),El Salvador,San Salvador,324,Sí,USD,10291,2024-09-08,Panadería Cuscatlán,Integral,7136.19,Tienda física,156.43,Ruta Sur,DHL,3,4,Distribuidora Andina Sur,Lucía Ramírez,Exportación,CIF,Aéreo,CONT-026740,Callao
Harina integral (50 kg),Perú,Piura,240,No,PEN,10304,2024-10-11,Panadería El Trigal,Integral,10172.7,Online,140.4,Ruta Norte,FedEx,4,3,TransHarinas SAC,Carlos Huamán,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Chiclayo,213,No,PEN,10312,2024-10-21,Supermercado Túpac Amaru,Integral,11623.7,Online,187.13,Ruta Centro,UPS,1,1,TransHarinas SAC,Miguel Sánchez,Nacional,,Terrestre,,
Harina integral (50 kg),Venezuela,Valencia,235,No,USD,10322,2024-11-04,Panadería El Ávila,Integral,6000.4,Tienda física,299.88,Ruta Norte,FedEx,4,2,Distribuidora Andina Sur,Andrés Quispe,Exportación,FOB,Aéreo,CONT-104556,Matarani
Harina integral (50 kg),Perú,Chiclayo,210,No,PEN,10333,2024-11-18,Supermercado Túpac Amaru,Integral,3003.0,Distribuidor,235.45,Ruta Sur,FedEx,4,4,Distribuidora Andina Sur,Rosa Fernández,Nacional,,Terrestre,,
Harina integral (50 kg),Panamá,Colón,400,No,USD,10347,2024-11-29,Canal Market,Integral,3944.7,Online,131.4,Ruta Norte,FedEx,3,4,TransHarinas SAC,Juan Pérez,Exportación,DAP,Marítimo,CONT-591310,Callao
Harina integral (50 kg),Perú,Piura,345,No,PEN,10357,2024-12-10,Pastelería Dulce Hogar,Integral,5691.84,Distribuidor,251.71,Ruta Norte,UPS,0,3,Harinas Express,Lucía Ramírez,Nacional,,Terrestre,,
Harina integral (50 kg),EEUU,Miami,216,No,USD,10369,2024-01-20,Andes Bakery LA,Integral,4514.92,Distribuidor,67.8,Ruta Centro,FedEx,0,2,Logística Norte SAC,Patricia Salazar,Exportación,DAP,Marítimo,CONT-851220,Matarani
Harina integral (50 kg),Perú,Lima,215,No,PEN,10381,2024-02-17,Bodega San Martín,Integral,8254.8,Distribuidor,28.53,Ruta Centro,UPS,0,3,Logística Integral Perú,Rosa Fernández,Nacional,,Terrestre,,
Harina integral (50 kg),Perú,Chiclayo,364,No,PEN,10391,2024-03-09,Bodega Santa Rosa,Integral,2416.56,Online,77.25,Ruta Sur,FedEx,2,1,Logística Integral Perú,Lucía Ramírez,Nacional,,Terrestre,,
Harina integral (50 kg),Venezuela,Valencia,219,No,USD,10411,2024-05-01,Panadería El Ávila,Integral,4140.23,Distribuidor,115.32,Ruta Norte,DHL,0,3,Logística Integral Perú,Rosa Fernández,Exportación,CIF,Aéreo,CONT-228526,Callao
Harina integral (50 kg),Perú,Cusco,296,No,PEN,10424,2024-05-31,Supermercado El Sol,Integral,12001.0,Online,162.96,Ruta Centro,FedEx,3,2,Distribuciones Santa Clara,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Cusco,398,No,PEN,10107,2024-02-24,Bodega Santa Rosa,Panadera,3896.49,Distribuidor,192.24,Ruta Centro,DHL,2,2,TransHarinas SAC,Lucía Ramírez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,256,No,PEN,10120,2024-04-29,Bodega Los Olivos,Panadera,2793.86,Tienda física,274.97,Ruta Centro,UPS,0,4,Logística Integral Perú,Rosa Fernández,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Trujillo,383,Sí,PEN,10134,2024-07-01,Bodega Los Olivos,Panadera,3307.77,Tienda física,162.76,Ruta Sur,UPS,4,1,Distribuidora Andina Sur,Carmen Vásquez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Colombia,Bogotá,347,No,USD,10145,2024-08-25,Pastelería Antioqueña,Panadera,5192.95,Online,160.36,Ruta Norte,FedEx,3,5,Harinas Express,Lucía Ramírez,Exportación,DAP,Aéreo,CONT-865822,Callao
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,323,Sí,PEN,10159,2024-10-10,Bodega Santa Rosa,Panadera,5016.83,Tienda física,34.07,Ruta Centro,UPS,3,4,Logística Integral Perú,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),EEUU,Los Ángeles,312,No,USD,10168,2024-10-28,Andes Bakery LA,Panadera,3660.93,Tienda física,29.78,Ruta Norte,FedEx,1,3,Distribuidora Andina Sur,Patricia Salazar,Exportación,FOB,Marítimo,CONT-609919,Matarani
Harina panadera especial Don Angelo (50 kg),Colombia,Cali,235,No,USD,10180,2024-11-11,Panadería La Candelaria,Panadera,4695.6,Distribuidor,174.32,Ruta Sur,UPS,3,3,Distribuciones Santa Clara,Diego Chávez,Exportación,FOB,Aéreo,CONT-691871,Matarani
Harina panadera especial Don Angelo (50 kg),Venezuela,Caracas,392,No,USD,10188,2024-11-18,Supermercado Orinoco,Panadera,3660.92,Online,142.69,Ruta Norte,DHL,4,2,Harinas Express,Patricia Salazar,Exportación,CIF,Aéreo,CONT-393926,Matarani
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,216,No,PEN,10201,2024-12-01,Panadería San José,Panadera,3025.92,Distribuidor,254.97,Ruta Centro,UPS,3,2,Distribuidora Andina Sur,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,322,No,PEN,10210,2024-01-12,Bodega Santa Rosa,Panadera,3009.09,Distribuidor,64.99,Ruta Norte,DHL,1,2,TransHarinas SAC,María Torres,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Cusco,355,No,PEN,10223,2024-02-20,Panificadora Andina,Panadera,5422.39,Distribuidor,26.99,Ruta Norte,FedEx,3,5,Logística Norte SAC,Lucía Ramírez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,348,No,PEN,10236,2024-04-03,Panadería El Trigal,Panadera,2852.08,Distribuidor,145.73,Ruta Sur,FedEx,3,5,Logística Norte SAC,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Chile,Concepción,270,No,USD,10251,2024-05-18,Supermercado Mapocho,Panadera,5756.52,Distribuidor,86.49,Ruta Sur,FedEx,1,4,Logística Norte SAC,María Torres,Exportación,CIF,Aéreo,CONT-099880,Paita
Harina panadera especial Don Angelo (50 kg),Panamá,Colón,265,No,USD,10263,2024-06-28,Panadería Panamá Viejo,Panadera,4472.0,Distribuidor,33.89,Ruta Norte,DHL,3,5,Harinas Express,Pedro Castillo,Exportación,FOB,Marítimo,CONT-445770,Callao
Harina panadera especial Don Angelo (50 kg),El Salvador,San Salvador,399,Sí,USD,10275,2024-07-23,Mercado Centro,Panadera,2904.44,Distribuidor,222.89,Ruta Norte,FedEx,2,2,Harinas Express,Andrés Quispe,Exportación,CIF,Aéreo,CONT-691002,Callao
Harina panadera especial Don Angelo (50 kg),Perú,Trujillo,364,No,PEN,10285,2024-08-27,Panificadora Andina,Panadera,6484.59,Online,51.25,Ruta Norte,FedEx,3,4,Logística Integral Perú,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Chile,Concepción,292,No,USD,10298,2024-09-27,Pastelería Don Pedro,Panadera,3757.26,Tienda física,190.33,Ruta Sur,DHL,0,4,Harinas Express,Patricia Salazar,Exportación,CIF,Marítimo,CONT-836101,Callao
Harina panadera especial Don Angelo (50 kg),Perú,Lima,374,No,PEN,10308,2024-10-15,Minimarket Don Lucho,Panadera,4043.96,Distribuidor,98.69,Ruta Sur,UPS,0,1,Distribuciones Santa Clara,Patricia Salazar,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,258,Sí,PEN,10318,2024-11-02,Pastelería Dulce Hogar,Panadera,5566.5,Distribuidor,68.58,Ruta Norte,FedEx,2,5,TransHarinas SAC,Andrés Quispe,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Chiclayo,400,No,PEN,10329,2024-11-15,Pastelería La Estrella,Panadera,3176.0,Distribuidor,126.33,Ruta Sur,UPS,3,3,Logística Norte SAC,Rosa Fernández,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Venezuela,Caracas,280,No,USD,10339,2024-11-23,Panadería El Ávila,Panadera,2756.8,Distribuidor,244.4,Ruta Centro,UPS,4,3,Distribuidora Andina Sur,Carlos Huamán,Exportación,CIF,Marítimo,CONT-909442,Matarani
Harina panadera especial Don Angelo (50 kg),Perú,Piura,276,No,PEN,10361,2024-12-17,Bodega San Martín,Panadera,1329.9,Distribuidor,129.79,Ruta Sur,FedEx,3,1,Logística Integral Perú,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Piura,253,No,PEN,10374,2024-02-02,Pastelería El Buen Sabor,Panadera,5288.01,Distribuidor,230.22,Ruta Sur,FedEx,0,2,Distribuciones Santa Clara,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Arequipa,299,Sí,PEN,10388,2024-03-03,Supermercado Túpac Amaru,Panadera,2225.5,Tienda física,55.14,Ruta Sur,DHL,1,1,Logística Norte SAC,Pedro Castillo,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Cusco,279,No,PEN,10402,2024-04-07,Bodega Los Olivos,Panadera,5833.8,Tienda física,236.38,Ruta Centro,DHL,2,2,Distribuciones Santa Clara,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Don Angelo (50 kg),Perú,Piura,257,No,PEN,10417,2024-05-13,Bodega San Martín,Panadera,5887.35,Distribuidor,86.34,Ruta Centro,FedEx,1,5,Distribuciones Santa Clara,Patricia Salazar,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,363,No,PEN,10107,2024-02-24,Supermercado Mi Perú,Panadera,6065.55,Tienda física,209.67,Ruta Centro,UPS,4,5,TransHarinas SAC,Luis Gutiérrez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Chiclayo,344,No,PEN,10120,2024-04-29,Panificadora Andina,Panadera,9264.86,Online,178.42,Ruta Norte,DHL,3,4,Logística Norte SAC,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Cusco,313,No,PEN,10134,2024-07-01,Supermercado Mi Perú,Panadera,7023.98,Distribuidor,280.16,Ruta Norte,DHL,4,4,Harinas Express,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Guatemala,Ciudad de Guatemala,332,Sí,USD,10145,2024-08-25,Supermercado Quetzal,Panadera,5176.38,Online,128.45,Ruta Centro,FedEx,1,4,Harinas Express,Carlos Huamán,Exportación,FOB,Marítimo,CONT-138526,Callao
Harina panadera especial Doña Angélica (50 kg),EEUU,Houston,290,No,USD,10159,2024-10-10,Pantry Houston LLC,Panadera,4132.7,Online,38.53,Ruta Norte,FedEx,3,4,Distribuciones Santa Clara,Carmen Vásquez,Exportación,CIF,Marítimo,CONT-638352,Callao
Harina panadera especial Doña Angélica (50 kg),Perú,Piura,400,No,PEN,10168,2024-10-28,Panadería Doña Rosa,Panadera,4183.0,Distribuidor,25.36,Ruta Norte,FedEx,4,3,TransHarinas SAC,Ana Rojas,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Cusco,259,No,PEN,10180,2024-11-11,Minimarket Don Lucho,Panadera,8892.9,Tienda física,251.52,Ruta Norte,FedEx,0,4,TransHarinas SAC,María Torres,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Cuba,La Habana,299,No,USD,10188,2024-11-18,Bodega Habana Centro,Panadera,8714.7,Online,166.93,Ruta Centro,DHL,0,4,Harinas Express,Rosa Fernández,Exportación,CIF,Aéreo,CONT-196963,Callao
Harina panadera especial Doña Angélica (50 kg),Cuba,La Habana,399,No,USD,10201,2024-12-01,Panadería El Malecón,Panadera,8065.89,Distribuidor,237.07,Ruta Sur,DHL,2,4,TransHarinas SAC,Diego Chávez,Exportación,CIF,Aéreo,CONT-634411,Paita
Harina panadera especial Doña Angélica (50 kg),El Salvador,San Salvador,347,No,USD,10210,2024-01-12,Mercado Centro,Panadera,6123.4,Online,85.64,Ruta Centro,DHL,0,2,Logística Integral Perú,Luis Gutiérrez,Exportación,FOB,Aéreo,CONT-327261,Matarani
Harina panadera especial Doña Angélica (50 kg),El Salvador,Santa Ana,363,No,USD,10223,2024-02-20,Mercado Centro,Panadera,9774.03,Online,116.62,Ruta Centro,UPS,0,4,Distribuciones Santa Clara,Rosa Fernández,Exportación,CIF,Aéreo,CONT-638596,Paita
Harina panadera especial Doña Angélica (50 kg),El Salvador,San Salvador,285,No,USD,10237,2024-04-05,Panadería Cuscatlán,Panadera,7023.9,Online,28.43,Ruta Norte,DHL,1,1,Logística Integral Perú,Rosa Fernández,Exportación,CIF,Marítimo,CONT-488732,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Trujillo,373,No,PEN,10251,2024-05-18,Panadería San José,Panadera,7078.23,Online,289.22,Ruta Norte,DHL,0,4,Logística Integral Perú,Carmen Vásquez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),EEUU,Miami,312,No,USD,10263,2024-06-28,Pantry Houston LLC,Panadera,8336.94,Tienda física,207.0,Ruta Sur,FedEx,0,4,Logística Norte SAC,Ana Rojas,Exportación,FOB,Marítimo,CONT-451141,Callao
Harina panadera especial Doña Angélica (50 kg),Perú,Lima,215,No,PEN,10275,2024-07-23,Bodega Los Olivos,Panadera,6901.92,Online,281.3,Ruta Sur,DHL,1,3,Distribuciones Santa Clara,Juan Pérez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Trujillo,269,No,PEN,10285,2024-08-27,Panadería El Trigal,Panadera,5438.07,Online,94.34,Ruta Sur,DHL,0,4,TransHarinas SAC,Diego Chávez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Cuba,Santiago de Cuba,203,No,USD,10299,2024-09-30,Panadería El Malecón,Panadera,6683.34,Online,191.21,Ruta Sur,DHL,0,2,Logística Norte SAC,Rosa Fernández,Exportación,FOB,Aéreo,CONT-306056,Matarani
Harina panadera especial Doña Angélica (50 kg),Colombia,Medellín,400,No,USD,10308,2024-10-15,Supermercado Cafetal,Panadera,4570.4,Tienda física,209.98,Ruta Centro,FedEx,2,5,Logística Norte SAC,Pedro Castillo,Exportación,DAP,Aéreo,CONT-531441,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,306,Sí,PEN,10318,2024-11-02,Minimarket Don Lucho,Panadera,7667.14,Online,108.91,Ruta Sur,DHL,0,4,Harinas Express,Pedro Castillo,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Venezuela,Caracas,228,No,USD,10329,2024-11-15,Supermercado Orinoco,Panadera,5868.2,Online,257.47,Ruta Centro,DHL,0,4,TransHarinas SAC,Andrés Quispe,Exportación,CIF,Marítimo,CONT-842065,Callao
Harina panadera especial Doña Angélica (50 kg),Perú,Lima,363,Sí,PEN,10339,2024-11-23,Panificadora InkaPan,Panadera,2990.13,Tienda física,285.21,Ruta Norte,UPS,2,4,Harinas Express,Carmen Vásquez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Arequipa,202,No,PEN,10362,2024-01-05,Supermercado Túpac Amaru,Panadera,3664.1,Tienda física,267.76,Ruta Sur,UPS,1,3,Harinas Express,Carlos Huamán,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Guatemala,Quetzaltenango,262,No,USD,10374,2024-02-02,Panadería Chapina,Panadera,3834.38,Tienda física,226.94,Ruta Norte,UPS,0,5,Logística Integral Perú,Luis Gutiérrez,Exportación,FOB,Aéreo,CONT-250927,Paita
Harina panadera especial Doña Angélica (50 kg),Perú,Chiclayo,325,No,PEN,10388,2024-03-03,Supermercado Túpac Amaru,Panadera,1822.17,Online,97.69,Ruta Norte,UPS,4,3,Distribuciones Santa Clara,Lucía Ramírez,Nacional,,Terrestre,,
Harina panadera especial Doña Angélica (50 kg),Perú,Piura,338,No,PEN,10403,2024-04-08,Supermercado Mi Perú,Panadera,11886.6,Tienda física,98.85,Ruta Centro,FedEx,1,3,Harinas Express,Patricia Salazar,Nacional,,Terrestre,,
